Unnamed: 0,Zone,State,City,Name,Type,Establishment Year,time needed to visit in hrs,Google review rating,Entrance Fee in INR,Airport with 50km Radius,Weekly Off,Significance,DSLR Allowed,Number of google review in lakhs,Best Time to visit,Ideal_Season,Age_Group_Suitability,Budget_Category,Recommended_Duration_Days,Ideal_Group_Size,Cluster
269,Eastern,Sikkim,Gangtok,Rumtek Monastery,Monastery,1960s,1.0,4.6,10,Yes,,Religious,No,0.035,Morning,All Seasons,All Age Groups,Budget,0.5 Day,Any,1
270,Eastern,Sikkim,Ravangla,Buddha Park,Park,213,1.0,4.8,50,Yes,,Cultural,Yes,0.1,All,All Seasons,"Families,Kids,Adults",Mid-Range,0.5 Day,Any,9
271,Eastern,Sikkim,Gangtok,Baba Harbhajan Singh Temple,Temple,1967,1.0,4.7,0,Yes,,Religious,No,0.075,All,All Seasons,All Age Groups,Budget,0.5 Day,Any,1
272,Eastern,Sikkim,Gangtok,Tsomgo Lake,Lake,Unknown,2.0,4.5,0,Yes,,Nature,Yes,0.15,Morning,All Seasons,"Adults,Young Adults",Budget,0.5 Day,Any,4
273,North Eastern,Assam,Guwahati,Kamakhya Temple,Temple,Unknown,2.0,4.6,0,Yes,,Religious,No,0.21,All,All Seasons,All Age Groups,Budget,0.5 Day,Any,11
274,North Eastern,Assam,Kaziranga,Kaziranga National Park,National Park,1905,3.0,4.5,650,No,,Wildlife,No,0.068,Morning,All Seasons,"Young Adults,Adults",Premium,0.5 Day,4+ people,10
275,North Eastern,Assam,Guwahati,Umananda Island,Island,Unknown,1.0,4.1,0,Yes,,Nature,Yes,0.01,Morning,All Seasons,"Adults,Young Adults",Budget,0.5 Day,Any,3
276,North Eastern,Assam,Sivasagar,Sivasagar Sivadol,Temple,1734,1.0,4.7,0,No,,Historical,Yes,0.065,All,All Seasons,All Age Groups,Budget,0.5 Day,Any,11
277,North Eastern,Assam,Majuli,Majuli Island,River Island,Unknown,2.0,4.7,0,No,,Cultural,Yes,0.01,Morning,All Seasons,"Adults,Young Adults",Budget,0.5 Day,Any,3
278,North Eastern,Assam,Manas,Manas National Park,National Park,1990,3.0,4.6,500,No,,Wildlife,Yes,0.19,Morning,All Seasons,"Young Adults,Adults",Premium,0.5 Day,4+ people,10
279,North Eastern,Assam,Hajo,Hayagriva Madhava Temple,Temple,Unknown,1.0,4.5,0,No,,Religious,Yes,0.9,All,All Seasons,All Age Groups,Budget,0.5 Day,Any,11
280,North Eastern,Assam,Guwahati,Pobitora Wildlife Sanctuary,Wildlife Sanctuary,1987,2.0,4.4,500,Yes,,Wildlife,Yes,0.037,All,All Seasons,"Young Adults,Adults",Premium,0.5 Day,Any,10
281,North Eastern,Arunachal Pradesh,Tawang,Tawang Monastery,Monastery,1680,2.0,4.7,0,No,,Religious,No,0.032,Morning,All Seasons,All Age Groups,Budget,0.5 Day,Any,11
282,North Eastern,Tripura,Agartala,Ujjayanta Palace,Palace,1901,1.5,4.5,10,Yes,Monday,Historical,Yes,0.035,All,All Seasons,All Age Groups,Budget,0.5 Day,Any,1
283,North Eastern,Tripura,Dumboor,Dumboor Lake,Lake,Unknown,1.0,4.5,0,No,,Nature,Yes,0.01,Morning,All Seasons,"Adults,Young Adults",Budget,0.5 Day,Any,4
284,North Eastern,Tripura,Unakoti,Unakoti Rock Carvings,Rock Carvings,700,1.5,4.5,20,No,,Historical,Yes,0.025,Morning,All Seasons,"Adults,Young Adults",Budget,0.5 Day,Any,4
285,Central,Chhattisgarh,Bastar,Chitrakote Falls,Waterfall,Unknown,1.5,4.6,0,No,,Nature,Yes,0.19,Morning,All Seasons,"Young Adults,Adults",Budget,0.5 Day,Any,4
286,North Eastern,Nagaland,Dzükou Valley,Dzükou Valley,Valley,Unknown,3.0,4.7,0,No,,Trekking,Yes,0.01,Afternoon,All Seasons,"Adults,Young Adults",Budget,0.5 Day,Any,10
287,Southern,Puducherry,Puducherry,Promenade Beach,Beach,Unknown,1.0,4.5,0,Yes,,Recreational,Yes,0.09,Morning,All Seasons,"Families,Kids,Adults",Budget,0.5 Day,4+ people,9
288,Southern,Puducherry,Auroville,Auroville,Township,1968,2.0,4.1,0,Yes,,Cultural,Yes,0.035,All,All Seasons,"Adults,Young Adults",Budget,0.5 Day,Any,3
289,Southern,Puducherry,Puducherry,Paradise Beach,Beach,Unknown,1.0,4.5,200,Yes,,Recreational,Yes,0.015,Morning,All Seasons,"Families,Kids,Adults",Premium,0.5 Day,4+ people,9
290,Southern,Andaman and Nicobar Islands,Port Blair,Cellular Jail,Landmark,1906,1.5,4.7,30,Yes,Monday,Historical,Yes,0.12,Afternoon,All Seasons,"Adults,Young Adults",Budget,0.5 Day,Any,3
291,Southern,Andaman and Nicobar Islands,Havelock Island,Radhanagar Beach,Beach,Unknown,1.0,4.8,0,No,,Nature,Yes,0.09,Morning,All Seasons,"Families,Kids,Adults",Budget,0.5 Day,4+ people,9
292,Southern,Andaman and Nicobar Islands,Neil Island,Bharatpur Beach,Beach,Unknown,1.0,4.5,0,No,,Nature,Yes,0.04,Morning,All Seasons,"Families,Kids,Adults",Budget,0.5 Day,4+ people,9
293,Southern,Andaman and Nicobar Islands,Baratang Island,Limestone Caves,Natural Feature,Unknown,1.5,4.4,250,No,,Nature,Yes,0.015,Morning,All Seasons,"Adults,Young Adults",Premium,0.5 Day,Any,10
294,Western,Daman and Diu,Diu,Naida Caves,Cave,Unknown,1.0,4.5,0,No,,Nature,Yes,0.6,Afternoon,All Seasons,"Adults,Young Adults",Budget,0.5 Day,Any,3
295,Western,Daman and Diu,Diu,Diu Fort,Fort,1535,1.5,4.6,0,No,,Historical,Yes,1.2,Afternoon,All Seasons,All Age Groups,Budget,0.5 Day,Any,11
296,Eastern,Jharkhand,Deoghar,Baba Baidyanath Temple,Temple,Unknown,1.0,4.7,0,Yes,,Religious,Yes,1.8,All,All Seasons,All Age Groups,Budget,0.5 Day,Any,1
297,Eastern,Jharkhand,Ranchi,Pahari Mandir,Temple,Unknown,1.0,4.6,0,Yes,,Religious,Yes,0.13,All,All Seasons,All Age Groups,Budget,0.5 Day,Any,1
298,Eastern,Bihar,Bodh Gaya,Mahabodhi Temple,Temple,-260,1.5,4.7,0,Yes,,Religious,Yes,0.2,All,All Seasons,All Age Groups,Budget,0.5 Day,Any,1
299,Eastern,Bihar,Patna,Sanjay Gandhi Biological Park,Zoo,Unknown,2.5,4.3,30,Yes,,Wildlife,Yes,0.5,All,All Seasons,"Families,Kids,Adults",Budget,0.5 Day,Any,12
300,Eastern,Bihar,Patna,Takhat Shri Harimandir Ji Patna Sahib,Gurudwara,Unknown,1.0,4.7,0,Yes,,Religious,Yes,0.25,All,All Seasons,All Age Groups,Budget,0.5 Day,Any,1
301,Eastern,Bihar,Patna,Budhha Smriti Park,Park,Unknown,1.0,4.4,10,Yes,,Cultural,Yes,0.31,All,All Seasons,"Families,Kids,Adults",Budget,0.5 Day,Any,9
302,Northern,Haryana,Gurugram,Kingdom of Dreams,Entertainment,2010,3.0,4.4,1100,Yes,Monday,Entertainment,Yes,0.3,Afternoon,"Winter,Spring","Adults,Young Adults",Premium,0.5 Day,Any,6
303,Northern,Haryana,Gurugram,Ambience Mall,Mall,Unknown,2.0,4.6,0,Yes,,Shopping,Yes,1.2,Afternoon,"Winter,Spring","Adults,Young Adults",Budget,0.5 Day,Any,7
304,Northern,Haryana,Gurugram,DLF CyberHub,Commercial Complex,Unknown,2.0,4.7,0,Yes,,Entertainment,Yes,0.71,Afternoon,"Winter,Spring","Adults,Young Adults",Budget,0.5 Day,Any,7
305,Northern,Delhi,New Delhi,Gurudwara Bangla Sahib,Gurudwara,Unknown,1.0,4.8,0,Yes,,Religious,Yes,1.05,All,"Winter,Spring",All Age Groups,Budget,0.5 Day,Any,13
306,Northern,Uttarakhand,Kedarnath,Kedarnath,Temple,Unknown,1.5,4.8,0,No,,Religious,No,2.0,All,"Winter,Spring",All Age Groups,Budget,0.5 Day,Any,5
307,Central,Uttar Pradesh,Noida,DLF Mall of India,Mall,2016,2.0,4.6,0,Yes,,Shopping,Yes,1.5,All,All Seasons,"Adults,Young Adults",Budget,0.5 Day,Any,4
308,Central,Uttar Pradesh,Greater Noida,The Grand Venice Mall,Mall,Unknown,2.0,4.2,0,Yes,,Shopping,Yes,0.45,All,All Seasons,"Adults,Young Adults",Budget,0.5 Day,Any,4
309,Southern,Karnataka,Bengaluru,Wonderla Amusement Park,Amusement Park,2005,4.0,4.5,890,Yes,,Entertainment,Yes,0.95,All,"Winter,Spring,Summer","Families,Kids,Adults",Premium,0.5 Day,2-4 people,2
310,Eastern,Odisha,Bhubaneswar,Nandankanan Zoological Park,Zoo,1960,3.0,4.4,50,Yes,Monday,Wildlife,Yes,0.81,Afternoon,All Seasons,"Families,Kids,Adults",Mid-Range,0.5 Day,Any,12
311,Southern,Karnataka,Bengaluru,Orion Mall,Mall,2012,2.0,4.5,0,Yes,,Shopping,Yes,1.8,All,"Winter,Spring,Summer","Adults,Young Adults",Budget,0.5 Day,Any,0
312,Southern,Telangana,Hyderabad,Inorbit Mall Cyberabad,Mall,2004,2.0,4.5,0,Yes,,Shopping,Yes,1.2,All,All Seasons,"Adults,Young Adults",Budget,0.5 Day,Any,3
313,Northern,Delhi,New Delhi,Jama Masjid,Mosque,1656,1.0,4.5,0,Yes,,Historical,Yes,0.49,All,"Winter,Spring","Adults,Young Adults",Budget,0.5 Day,Any,7
314,Southern,Tamil Nadu,Rameswaram,Ramanathaswamy Temple,Temple,Unknown,1.5,4.7,0,Yes,,Religious,No,0.1,All,"Winter,Spring,Summer",All Age Groups,Budget,0.5 Day,Any,5
315,Central,Uttar Pradesh,Greater Noida,Buddh International Circuit,Race Track,2011,2.0,4.6,1500,Yes,Sunday,Sports,Yes,7.4,All,All Seasons,"Adults,Young Adults",Premium,0.5 Day,Any,10
316,Central,Uttar Pradesh,Lucknow,Phoenix Palassio,Mall,2020,2.0,4.6,0,Yes,,Shopping,Yes,0.35,All,All Seasons,"Adults,Young Adults",Budget,0.5 Day,Any,4
317,Southern,Kerala,Kochi,LuLu International Shopping Mall,Mall,2013,3.0,4.6,0,Yes,,Shopping,Yes,1.9,All,"Winter,Spring,Summer","Adults,Young Adults",Budget,0.5 Day,Any,0
318,Northern,Delhi,New Delhi,Rail Museum,Museum,1977,2.0,4.4,50,Yes,Monday,Cultural,Yes,0.24,Morning,"Winter,Spring",All Age Groups,Mid-Range,0.5 Day,Any,13
319,North Eastern,Meghalaya,Cherrapunji,Living Root Bridge,Natural Feature,Unknown,2.0,4.6,0,No,,Nature,Yes,0.06,Morning,All Seasons,"Adults,Young Adults",Budget,0.5 Day,Any,4
320,Western,Gujarat,Gandhinagar,Akshardham,Temple,1992,3.0,4.6,0,Yes,Monday,Religious,No,0.18,All,All Seasons,All Age Groups,Budget,0.5 Day,Any,11
321,Central,Uttar Pradesh,Agra,Agra Fort,Fort,1565,2.0,4.5,40,Yes,,Historical,Yes,1.3,Afternoon,All Seasons,All Age Groups,Budget,0.5 Day,Any,1
322,Central,Madhya Pradesh,Bhopal,Madhya Pradesh Tribal Museum,Museum,2013,2.0,4.7,10,Yes,Monday,Cultural,Yes,0.15,All,All Seasons,All Age Groups,Budget,0.5 Day,Any,1
323,Northern,Rajasthan,Jaipur,City Palace,Palace,1727,2.0,4.4,200,Yes,,Historical,Yes,0.51,Morning,All Seasons,All Age Groups,Premium,0.5 Day,Any,8
324,Northern,Rajasthan,Jaipur,Albert Hall Museum,Museum,1887,2.0,4.5,200,Yes,,Historical,Yes,0.63,All,All Seasons,All Age Groups,Premium,0.5 Day,Any,8
